numberOfPlot,street,buildingCount
19,Колыванское шоссе,0
19,улица Кольцова,10
19,улица Комбайнеров,2
19,Комбинатская улица,21
19,Комбинатский переулок,7
19,Кометная улица,3
19,улица Коминтерна,29
19,Коммунальная улица,18
19,Коммунистическая улица,47
19,Коммунстроевская улица,95
19,Коммунстроевский проезд,16
19,Комсомольская улица,29
19,Комсомольский проспект,14
19,Комсомольский переулок,0
19,площадь Кондратюка,0
19,улица Конный Парк,2
19,Кооперативная улица,2
19,улица Коперника,2
19,Коралловая улица,0
19,Королева улица,1
19,улица Королева,92
19,улица Короленко,210
19,Короткий переулок,6
19,улица Корчагина,2
19,улица Косиора,33
19,Космическая улица,7
19,улица Космонавтов,2
19,улица Костонаева,9
19,улица Костычева,58
19,улица Котовского,64
19,поселок коттеджный Европейский,1
19,коттеджный поселок Европейский,1
19,Коуракская улица,2
19,улица Кочубея,18
19,улица Кошурникова,79
19,Краевая улица,0
19,улица Крамского,33
19,тупик Красина,7
19,улица Красина,39
19,Красноармейская улица,172
19,Красноармейский проезд,7
19,Красноводская улица,1
19,Красногвардейская улица,0
19,Красногорская улица,46
19,Красногорский переулок,41
19,Краснодарская улица,1
19,Краснодарский переулок,1
19,Красносельская улица,20
19,Красноуфимская улица,13
19,Краснофлотская улица,3
19,Краснояровское шоссе,0
19,Красноярская улица,12
19,Красный проспект,211
19,улица Красный Восток,2
19,улица Красный Факел,90
19,улица Красных Зорь,9
19,улица Красных Партизан,17
19,улица Краузе,11
19,улица Крашенинникова,10
19,Крестьянская улица,3
19,улица Кривоносова,0
19,Кривощековская улица,6
19,улица Кропоткина,119
19,улица Крылова,47
19,Крымская улица,34
19,Кубановская улица,7
19,Кубовая улица,76
19,Кудряшевская улица,2
19,Кузбасская улица,57
19,Кузнечная улица,2
19,улица Кузьмы Минина,41
19,улица Куйбышева,1
19,Кулундинская улица,2
19,улица Куприна,56
19,улица Курако,0
19,Курганская улица,15
19,Курганский проезд,4
19,Курильская улица,1
19,Курортная улица,0
19,Курская улица,0
19,улица Курчатова,53
19,улица Кутателадзе,26
